seed,episode,return,cumulative_reward,ttm,total_steps,question_accuracy,content_rate,blueprint_adherence,post_content_gain,post_content_gain_video,post_content_gain_PPT,post_content_gain_text,post_content_gain_blog,post_content_gain_article,post_content_gain_handout,final_mastery,mean_frustration
4,5,55.16779181403159,55.16779181403159,140,140,0.7837837837837838,0.4714285714285714,0.7648648648648648,0.052283174144062756,0.08341761890161443,0.05959525252748717,0.042491405091999036,0.03507511251735817,0.05464233011759974,0.038920142438789905,0.4513438241520019,0.10842857142857147
4,6,48.046208996536656,48.046208996536656,140,140,0.75,0.5428571428571428,0.74375,0.052191425570232416,0.07908751333836721,0.06347728035945863,0.03600819605305478,0.05439758189077679,0.03980759975690657,0.030729396960445392,0.4502919477800066,0.08914285714285715
4,7,6.602576753402113,6.602576753402113,35,35,0.45454545454545453,0.37142857142857144,0.8545454545454546,0.036115806126144435,0.04155444980234194,0.04014081848211984,0.024669662107189294,0.0056226334806611655,0.0,0.04162322567594871,0.29823870905610567,0.45742857142857146
4,8,74.05001692113741,74.05001692113741,140,140,0.872093023255814,0.38571428571428573,0.8069767441860465,0.04973669397164361,0.07162391860360107,0.06281786449098235,0.034804244644029,0.057001721061110434,0.04007934664437362,0.022427779181436493,0.44054626267392577,0.03250000000000001
4,9,66.81321395303513,66.81321395303513,140,140,0.8048780487804879,0.4142857142857143,0.8634146341463416,0.05283761436383613,0.07084338083390213,0.060772250945127726,0.03472469721111066,0.050964023461113554,0.05644505207438114,0.041473670508911244,0.4584675890940414,0.12407142857142861
4,10,14.769224633577602,14.769224633577602,55,55,0.5882352941176471,0.38181818181818183,0.8411764705882353,0.04024290393671708,0.07565196101426448,0.057815775581147866,0.0047930479056538244,0.05913862601651428,0.023161538926289693,0.016840653532001534,0.38794775341687704,0.36690909090909096
4,11,69.26699673753437,69.26699673753437,140,140,0.8452380952380952,0.4,0.7928571428571429,0.05201714077070296,0.07243996354225732,0.05643981271682871,0.04364747065789173,0.049717932660146645,0.045322199218538306,0.043703651751963335,0.4568747620839198,0.08800000000000001
4,12,7.377557261898759,7.377557261898759,37,37,0.5238095238095238,0.43243243243243246,0.6380952380952382,0.04899278202111153,0.06274875824685713,0.07361883894409807,0.04008699409628203,0.07826169989088722,0.047459209781540244,0.0325405030838095,0.34922702200394856,0.39
4,13,10.028555006064316,10.028555006064316,55,55,0.4857142857142857,0.36363636363636365,0.7142857142857143,0.05296563927827215,0.05911765312780241,0.054339269489662924,0.02468098772956299,0.05211779545516141,0.06406445079808183,0.07165994456419908,0.373268085408302,0.4570909090909091
4,14,79.06502377244394,79.06502377244394,140,140,0.9156626506024096,0.40714285714285714,0.8698795180722891,0.05756261110000156,0.0853675182066755,0.07654439279626875,0.04604727352161158,0.05434472549699653,0.024086972132955506,0.04664345762000719,0.47161493281341865,0.014142857142857143
4,15,87.54651961392018,87.54651961392018,140,140,1.0,0.37857142857142856,0.8137931034482759,0.05919764947617871,0.0805453679481017,0.06791247759015996,0.035458441650716876,0.06499521868339442,0.04862204904394236,0.04473016390834442,0.46773825755285436,0.005857142857142858
4,16,76.47552136987889,76.47552136987889,140,140,0.9375,0.42857142857142855,0.8,0.050837234402903136,0.06532237415830121,0.05579236319735993,0.04670602986058807,0.05183739891969135,0.046878335133188835,0.037393888622199,0.49812250157689747,0.01835714285714286
4,17,33.47434567872863,33.47434567872863,120,120,0.5774647887323944,0.4083333333333333,0.723943661971831,0.04392094724448846,0.07686284741745969,0.048963384649374955,0.026623758035047653,0.04567620048866325,0.025160813042640357,0.030636835868502736,0.4140947465088391,0.29241666666666694
4,18,56.01068534685108,56.01068534685108,140,140,0.7777777777777778,0.4857142857142857,0.775,0.054873468877289215,0.07372388040483187,0.058456592461063515,0.039478288210325896,0.04108873241727094,0.052759086208692345,0.052860390165893084,0.44920591223062084,0.08500000000000003
